單詞,TF,DF
日本,21802,8232
台灣,14378,4091
表示,11712,6112
市場,8564,3241
美國,7757,3029
美元,6945,1905
夏普,6613,703
今天,6608,4054
經濟,6120,2544
公司,6102,2559
中國,6053,2474
今年,5642,2948
大陸,5582,2049
政府,5406,2383
英國,5230,1285
指出,5173,3459
國際,5164,2541
鴻海,5128,834
日圓,5041,1770
投資,4864,1956
全球,4719,2233
可能,4376,2464
報導,4348,2439
成長,3957,1662
國家,3882,2132
目前,3804,2606
總統,3485,1291
去年,3448,1946
合作,3367,1732
未來,3113,1965
認為,3029,2043
產業,2992,1267
產品,2992,1199
銀行,2985,1130
企業,2984,1275
晴天,2934,157
包括,2905,2209
影響,2877,1806
指數,2870,1017
台幣,2863,1378
沒有,2810,1761
發展,2802,1519
東京,2744,1595
國大,2733,1584
進行,2699,1833
持續,2679,1824
時間,2608,1800
希望,2578,1736
政策,2541,1341
問題,2515,1458
可以,2479,1542
億元,2473,1125
人民,2355,965
陣雨,2353,204
集團,2346,1190
我們,2345,994
以及,2341,1789
董事,2326,1237
關係,2323,1105
民眾,2312,1218
成為,2306,1648
主要,2278,1742
技術,2274,1026
亞洲,2269,1207
消費,2258,1121
相關,2241,1592
利率,2216,837
台北,2120,1110
金融,2102,973
一個,2086,1335
會議,2084,1177
推出,2061,1132
媒體,2056,1237
最大,2052,1468
服務,2029,882
因此,2020,1543
脫歐,2012,594
因為,2010,1473
第一,1998,1388
顯示,1977,1312
國內,1970,1295
歐盟,1967,560
世界,1907,1184
航空,1866,476
不過,1857,1519
地區,1855,1179
其他,1847,1424
代表,1839,1128
活動,1838,1023
增加,1835,1182
提供,1819,1226
預期,1813,1181
其中,1809,1483
開始,1794,1361
超過,1784,1284
多雲,1784,189
央行,1782,796
安全,1780,1029
歐洲,1771,1018
透過,1725,1252
外交,1720,740
基金,1719,816
就是,1693,1211
對於,1687,1252
品牌,1680,743
重要,1664,1259
資金,1661,899
計畫,1659,1026
宣布,1656,1258
南韓,1649,810
交易,1649,857
以來,1647,1263
科技,1640,822
業者,1639,872
表現,1635,1029
決定,1630,1101
食品,1608,473
設計,1598,645
股市,1598,719
個月,1597,1145
同時,1584,1303
部分,1573,1180
營收,1563,626
事長,1562,1125
已經,1561,1167
公布,1558,1164
在台,1554,1054
研究,1534,879
舉行,1532,1160
生產,1525,804
是否,1525,1137
貨幣,1514,735
由於,1514,1242
自己,1505,963
根據,1497,1267
記者,1494,1069
首相,1490,981
發生,1488,972
北韓,1482,292
銷售,1479,779
觀光,1476,532
大學,1476,633
雙方,1475,826
面板,1472,380
旅客,1460,497
加上,1454,1171
不會,1453,1074
維持,1448,1003
方面,1443,1045
年來,1442,1143
中心,1436,895
針對,1435,1100
旅遊,1435,537
台股,1432,480
要求,1428,954
機會,1422,1038
過去,1418,1091
智慧,1416,624
現在,1414,1066
共同,1413,1091
手機,1401,614
在日,1401,1133
工作,1397,806
使用,1397,884
安倍,1396,546
除了,1395,1135
規模,1395,966
支持,1390,848
匯率,1389,607
上午,1385,1065
價格,1382,809
開發,1380,801
新聞,1372,1004
文化,1368,633
地震,1365,495
出現,1359,1053
商品,1347,652
營運,1346,783
需求,1340,903
許多,1339,1012
分析,1338,1034
國的,1322,940
出口,1322,561
貿易,1320,614
也是,1318,1107
電子,1317,704
結果,1310,884
強調,1307,1066
川普,1305,276
如果,1299,925
調查,1296,714
經營,1293,749
今日,1293,737
中華,1290,604
積極,1287,951
海外,1284,713
預計,1281,968
中央,1281,1051
提出,1276,884
接受,1276,1004
年的,1263,964
製造,1258,687
不是,1258,872
人士,1256,851
推動,1252,850
公投,1239,501
一步,1239,1015
社會,1238,702
受到,1234,1017
遊戲,1230,309
目標,1222,863
之間,1220,660
這個,1214,834
他們,1211,800
特別,1210,933
這些,1206,904
雖然,1205,1017
民黨,1203,473
國民,1202,599
