,id,title,content,cluster
25,1451798526125_F01,國泰金尾盤,在這天 國泰金尾盤買單大灌快1萬張<BR> 此時的我只想等明天開盤空國泰金... <BR>大家怎麼看這場戲呢? <BR> 怎麼看都覺得只是做做帳好看而已..,0
52,1451916588048_F01,散戶必看 之 大老二 最新研究報告,明天有可能會跌<BR>151515151515151515151515,0
60,1451962424002_F01,有人研究車之輪國際這檔股票嗎?,新聞寫說車之輪國際這檔股票明天上創櫃版，<BR>做汽車百貨通路的，<BR>因為最近幾年百貨通路像寶雅這種股價不錯，<BR>所以想問看看有研究的心得。,0
143,1452178902021_F01,（重要）1/8 將會是本波低點,剛剛美國特派幹員跟我說<BR>這次風暴是因為大媽搞笑<BR>搞了個融斷 現在取消了<BR>這次低點來了 就是明天<BR>今天7800點測試成功<BR>果然一堆買盤<BR>明天10：00後 斷頭槽死光將會噴到過年了,0
145,1452182490742_F01,今天美股開盤指數16888.36,一路發發發~上啦~[讚]<BR>看到這數字讓我想起小人物大大~<BR>希望是個好兆頭~[萌]<BR>鄉民們堅持住~<BR>台股明天加油吧~,0
216,1452518656889_F01,"股市在失去希望,沒有明天,才是底部!",很多散戶<BR>還在幻想賺小錢<BR>很多主力<BR>還在欺騙散戶去買<BR>可悲阿<BR>不見棺材不掉淚<BR>有錢就想敗光光<BR>你(妳)笑的出來<BR>因為你(妳)還套的不夠深<BR>看哪<BR>襲捲而來的大浪<BR>會把你(妳)們打到無底深淵<BR>那時<BR>哭不出來<BR>只有恐懼<BR>沒有明天<BR>因為你(妳)已失去希望<BR>看不到未來了<BR>卻是<BR>底部浮現<BR>可惜的是<BR>你(妳)已經被迫出場了,0
344,1452963352908_F01,既成事實效應~~,"蔡英文今天會當選，很多人都猜的到，再加上禮拜五美股大跌，很明顯是""既成事實效應""<BR>該賣的早就先賣了，還沒賣的，明天一開盤會斷頭。像八千大那種，我猜是四千點才會驚醒，而不是七千點賣股。<BR>所以明天搶反彈十分有利。<BR>當選前兩周，大盤從83xx跌到77xx，短線跌幅已夠，一直都沒有像樣的反彈，<BR>預估~期指開盤只要跌2.5趴以上(200點以上)，可以搶反彈<BR>貪心不怕死的，開盤就做多。<BR>膽子小的，請逢低作多。<BR>當別人恐慌時，記得要貪心....當然，中長期還是看空",0
454,1453363047348_F01,大陸股市明天要破2850了?,又有什麼消息了?怎麼跌這麼多。<BR>那台股算是強勢股了。<BR>還是晚上看美股明天一起算帳?<BR>請各位大大發表一下看法<BR>最主要8k大你怎麼沒發表看法。,0
581,1454070425930_F01,請問 明天有開盤嗎??,聽同事講 明天好像公務員都要加班 意思就是股市有開盤 <BR> 各位大大 有誰知道???,0
760,1455446423090_F01,明天新春是否開紅盤？業績創新高的機會大很多！,明天新春是否開紅盤？業績創新高的機會大很多！新年新希望！大家買對了嗎？<BR>,0
888,1456070098296_F01,關於儒鴻抽籤還有融券的相關問題,明天1476儒鴻解籤<BR>小弟認一張<BR>請較各位 <BR>1. 中的話 想要鎖利 因帳戶現金不足 賣出現股後是否可直接轉融券?<BR>2. 這知會不會直接明天沒券 然後撥券還倒賠?<BR>感謝各位~~~,0
912,1456219799444_F01,中裕今天搶跌停的 明早一定要掛跌停單賣掉!!,"我朋友一早進去買一張跌停板~後來爽西西跑來跟我炫耀 ....<BR>我只回他明天一早請掛跌停賣掉 有賺就要跑~不然怎麼死的都不知道....<BR>浩鼎這星期要打開跌停感覺有點難~~如果一直跌下去 第一個賠葬肯定是""中裕""<BR>所以今天有買的網友..正確操作方式就是明天一早一定要賣掉 過幾天你會感謝我喔!!",0
970,1456389806223_F01,6259百徽 有人注意到這支嗎,可以注意嗎可以注意嗎 <BR>明天衝衝衝嗎,0
1056,1456833392568_F01,儒鴻員工配股,小弟股市素人有沒有大大可以指點迷燈？儒鴻1476員工配股入手320，明天開始可以賣了，該直接賣了還是可以等一下？謝謝,0
1089,1456933513406_F01,印尼西南外海 發生規模7.9強震,印尼西南外海 發生規模7.9強震<BR>空方的機會來了<BR>明天台股會跌停嗎？,0
1264,1457589602067_F01,下單成交的規則??,小弟過去沒在碰股票，突然被家人問了一個問題也不確定答案，想請教一下熟悉股市交易的01版友：<BR>如果今天一個股價收盤是10元，<BR>明天想買的人認為股票會漲，怕買不到，所以在今天盤後就先下單10.2買，<BR>而賣家認為會跌想脫手，怕賣不掉，所以下單9.8元賣，<BR>如果沒有其他人想買賣這家股票，最後成交價會是9.8? 10.2? 還是不成交?,0
1287,1457627382901_F01,江湖上失蹤多年的恐怖殺手賈屠魄可能在美股現蹤,"利用歐洲開閘放水的大利多,盜窮指數開高走低先殺空再殺多,今晚好戲上場,<BR>台股明天又要看國安紅油吳大抄手如何力挽狂瀾,演出開低走高老梗.",0
1329,1457749999553_F01,浩鼎借券創歷史新高 下周又要大跌了嗎 !果然每週日都會放利空消息!!,3/18新聞大利空 浩鼎大股東 用15000張 質設換現金用!!!一般銀行質設打6折計算只剩240左右 ~~~<BR><BR>果然新聞又趕在星期天爆一大利空 不知投資浩鼎？ 蔡被爆與董事哥嫂互動多<BR>那些周五借券的大戶們 明天起又要開始大賺囉!!! 這些大戶好好喔 跟新聞媒體關係真好~ 一直放消息 一直狂賺 ...<BR>外資周五大賣 借券餘額衝新高 會不會有人早知道捨麼事情 又去借券來空囉 下周很有機會見3字頭,0
1382,1457975407052_F01,2498 今天14日為會漲?,2498 今天14日為會漲?<BR>三大法人都沒動做耶.....散戶 大戶???<BR>自營商的任務 是乎是拉高...一買一賣....<BR>明天外資要是開始有賣的動做就要小心了!!,0
1394,1458046541018_F01,盤中論輸贏,"開盤跌破8746就可以看到8575<BR>今天低點來到8589但有反彈訊號<BR>所以明天反彈後再看看有無下跌訊號<BR>行情是在盤中定輸贏的, 有訊號做多就做多有訊號做空就做空<BR>這是大盤, 個股會有差異, 操盤手要有自己的操作",0
1512,1458473687309_F01,真的這麼準嗎?...如果我日後績效越來越好，必常來造福各位!,昨日在深夜中，<BR>不小心發現這張圖:<BR><BR>其實我一開始也不知道答案，<BR>於是每張圖用盡方式去篩選，<BR>最後決定選第一隻，<BR>想說去找個答案看看好了，<BR>還挺好奇的<BR>結果....!!!<BR><BR>先來個預告，<BR>明天台股跳空爆漲突破8888,0
1572,1458666539496_F01,明天開盤打算all in..(懺悔中),美股恐上看18000，<BR>台股9000跑不掉，<BR>已整理多時..<BR>每天不斷開低收高..<BR>就是要洗散戶出場、出清持股..<BR>不想讓散戶賺大波段..<BR>以上總結..明天all in進場,0
1769,1459327409614_F01,鴻海雖未漲停，清明後台股上看9000仍不變!!,鴻海明天會漲停還跌停?<BR>當然要選漲停，<BR>不要以為郭董買夏普是自討苦吃<BR>近日短修正早已預測到，<BR>昨日就是個誘空把戲，<BR>昨日還做空的..<BR>今天幾乎漲了回來，<BR>就是要先逼散戶跳車，<BR>接下來的漲勢，<BR>空軍恐怕承受不住，<BR>最好先改開坦克比較安全<BR>如果這次沒漲上去，<BR>我就下台,0
1770,1459327410890_F01,鴻海公佈盈餘了~比外資預期的少~EPS9.42~那股利呢??,外資預測9.5以上~<BR>剛公佈9.42~<BR>明天會如何呢?,0
1900,1459777250718_F01,請問明天4月5號有開盤嗎？,請問明天4月5號有開盤嗎？請教各位前輩,0
1904,1459833860549_F01,定存單到期，結果拿不到錢,我中國信託、台新銀行<BR>網路銀行作的定存單昨日到期<BR>銀行說明天上班日才拿的到錢<BR>錢拿不到<BR>請問銀行假日利息怎麼算呢<BR>謝謝<BR><BR>補充說明：<BR>我是用網路銀行作定存單的<BR>今天四月6日已經看到帳戶有錢了，也可以從ATM領錢了,0
1951,1460023106160_F01,台股心得分享,大盤日k已經呈現島型反轉的型態<BR>明天收盤如果跌破今天最低點(8436)<BR>手上持股可以考慮減碼,0
2023,1460370344716_F01,技嘉,"微星已經從小星星變大明星了<BR>技嘉卻尚未變成技安<BR>昨天盤中買進33.9小試水溫<BR>最近新聞<BR>技嘉(2376)3月營收資料(單位千元)<BR> 當月 本年累計<BR>營收4,869,68113,088,573<BR>去年同期4,391,31012,906,752<BR>增減478,371 181,821<BR>增減百分比10.89% 1.41%<BR>今天盤中一度到35.15收34.65<BR>看看明天如何<BR>預計37左右出場",0
2034,1460384968367_F01,明天大盤是看漲還是看跌?,<BR>跌跌彈彈，跌跌彈彈‧明天應該是跌‧<BR>投資必有風險，猜對是運氣，猜錯是應該的‧,0
2048,1460438650741_F01,紡織股已是強弩之末,最近紡織股跌好多，儒鴻、聚陽、利勤、豐泰、百和、寶成等，今天儒鴻還爆量跌停。是發生什麼問題嗎？還是題材退燒了呢？今天的紡織，明天的生技，是如此嗎？,0
2120,1460626980768_F01,兩大龍頭法說會...各位對明天大盤有何看法？,大立光不意外<BR>但台積電似乎憂喜參半，張董也沒參加會議<BR>那明天大盤.....各位看官怎看？,0
2234,1461047979605_F01,為什麼一賣台新金就漲.....,早知道就繼續放的<BR>明天開盤立馬買回.....<BR>希望不要超過12元,0
2349,1461407094360_F01,請問有人買黃金存摺嗎？有的大大能進來分享嗎？,我是新手，最近想去臺銀開戶辦理黃金存摺，上臺銀網看到目前黃金1克1282，如果買黃金存摺請問要怎麼看黃金買賣，什麼時候該買？什麼時候該賣？可以今天買明天賣嗎？<BR>或是有哪些注意事項，能請有在買黃金存摺的大大分享嗎？<BR>不好意思，我真的對這方面不懂！,0
