id,label
137071,1
210002,1
133190,1
129476,1
136438,1
222573,1
212969,1
137778,1
211731,1
209509,1
135491,1
213301,1
211506,1
136558,1
211072,1
127302,1
135876,1
203599,1
199963,1
208990,1
212390,1
210053,1
211451,1
137871,1
135163,1
210658,1
202123,1
211360,1
210703,1
209031,1
203241,1
209347,1
137545,1
209557,1
212550,1
137058,1
204852,1
208342,1
136186,1
211708,1
213093,1
212002,1
201340,1
137088,1
194913,1
209504,1
210563,1
135515,1
202381,1
208788,1
16844,1
38719,1
38740,1
39167,1
39188,1
39195,1
39248,1
39252,1
39282,1
39284,1
39454,1
39455,1
39456,1
39457,1
39458,1
39461,1
39478,1
39479,1
39480,1
39481,1
39483,1
39484,1
39998,1
61800,1
61829,1
62032,1
62121,1
62273,1
62276,1
86097,1
86098,1
86195,1
86317,1
86321,1
86337,1
86340,1
96037,1
96038,1
96095,1
96102,1
96235,1
96281,1
96310,1
96333,1
96340,1
96343,1
96349,1
96354,1
96355,1
96388,1
96407,1
96413,1
96440,1
96473,1
96491,1
96492,1
96506,1
96512,1
96528,1
96541,1
143255,0
241153,2
140482,1
79943,1
36736,1
43716,1
19974,1
85078,2
32595,0
28085,1
204042,1
215903,1
37030,1
140143,1
120238,1
170790,0
226990,1
110100,1
115536,1
216,1
59879,1
7306,1
24404,1
151806,1
166237,1
125391,1
170777,1
50288,2
22946,0
229050,1
161445,2
165139,1
59203,1
17546,2
104191,1
98089,1
63124,0
151598,1
215376,0
181648,1
121919,1
167166,1
86178,1
90958,1
90370,0
246224,2
10865,0
74090,2
219091,1
14864,2
74253,1
5341,0
30192,1
78948,1
47781,1
33700,1
9043,1
70668,1
5083,1
111093,2
72481,2
120610,2
63163,1
41372,2
29191,0
8758,2
87949,1
67096,1
53215,1
32371,2
39769,1
66398,2
123006,2
61842,2
36293,2
67004,2
64243,1
87284,1
38723,2
114173,1
9788,1
43338,2
89527,2
93586,1
89747,2
116199,2
24921,1
123046,2
41138,2
106992,1
1479,0
69846,2
38792,1
30765,2
43270,2
54956,1
74559,1
38482,2
12871,2
94468,1
93982,2
97098,1
16310,1
3765,1
13356,2
987,0
70156,0
71050,1
30559,0
8911,1
185298,1
213951,1
153944,1
148692,1
162973,1
165930,2
177093,1
225527,0
153467,2
239998,1
175367,0
190629,0
238436,0
137705,0
147673,0
200650,2
163997,0
230121,0
140642,2
145690,1
189459,1
144514,0
191496,1
237388,2
214965,2
212369,2
230102,2
228568,1
243896,0
161088,2
138602,0
231061,1
213526,2
162116,0
213276,1
131940,1
218223,2
200180,1
228022,2
200165,1
175405,1
231956,2
181700,0
223436,1
194245,0
144068,2
179506,2
209308,1
236901,0
225691,1
178848,1
229820,1
105869,1
207797,1
109105,1
203217,1
207764,1
181290,1
178664,1
109015,1
156259,1
105868,1
204994,1
155536,1
109415,1
201472,1
109414,1
176558,1
157927,1
155158,1
105957,1
156022,1
109550,1
111703,1
205545,1
176870,1
153395,1
207571,1
154632,1
111372,1
207219,1
109227,1
179359,1
177291,1
176671,1
156275,1
203218,1
155643,1
157682,1
157774,1
157394,1
207778,1
157925,1
176824,1
156025,1
109500,1
180866,1
130574,1
204646,1
158075,1
110089,1
231152,1
201328,1
108212,1
158745,1
204973,1
230969,1
108853,1
176442,1
232508,1
155709,1
132474,1
232732,1
181070,1
204861,1
181812,1
202213,1
231308,1
158058,1
227596,1
107555,1
107368,1
156197,1
107703,1
205529,1
201104,1
209362,1
180004,1
104362,1
228318,1
206043,1
132788,1
158869,1
206579,1
107674,1
156179,1
134797,1
109468,1
180328,1
205517,1
155609,1
130690,1
232258,1
181597,1
102823,1
157798,1
108535,1
232306,1
155160,1
204510,1
47358,2
57174,0
192416,2
54672,2
73820,2
75641,2
34763,2
14779,2
95698,1
34091,1
73346,1
41742,0
183172,0
43000,2
41743,0
84852,0
171382,0
218124,0
95835,0
49248,2
95434,0
11583,0
37873,0
140323,2
22591,0
39745,2
37972,1
86556,1
185772,1
10105,1
142743,2
70075,2
85071,2
81253,2
191391,2
27628,2
55340,2
3816,2
30570,2
137328,2
36972,2
54149,0
119705,2
79610,2
22095,2
35616,2
9688,1
30474,0
2288,0
85823,2
324,1
1455,2
1487,1
1584,0
1760,2
1862,0
1864,0
1956,2
1997,2
2273,2
2274,2
3358,2
4306,2
4802,0
5748,2
5876,2
6245,2
6517,0
6609,2
6657,0
6732,0
7092,2
7174,0
7532,0
7542,0
7663,0
7669,2
7751,2
7841,2
7856,2
7953,2
7982,0
7986,2
8092,2
8095,2
8096,2
8134,0
8779,0
8781,0
8784,0
8932,0
9034,2
9654,0
9655,0
9887,2
9996,0
10154,0
10303,2
10422,0
10458,2
11644,0
11732,2
11958,2
12229,0
12847,2
12849,2
13227,2
13389,0
13746,0
14536,1
128,0
196,1
326,2
1130,0
1185,0
1237,0
1242,2
1353,2
1454,2
1792,2
1955,2
2170,0
3108,2
3362,0
3937,2
3956,2
4055,2
4079,2
4304,0
4305,2
4410,0
4488,2
4645,2
4699,2
4758,2
4774,2
5027,2
5147,1
5148,2
5150,0
5245,1
5281,2
5359,2
5648,2
5745,2
5836,2
5841,2
5964,2
5973,0
6127,0
6493,0
6733,2
6786,2
6887,0
6914,2
7133,0
7860,0
7937,2
